text,response
likes the sound of thunder.,stability
likes the sound of thunder.,openess
is so sleepy it's not even funny that's she can't get to sleep.,stability
is so sleepy it's not even funny that's she can't get to sleep.,openess
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",stability
"is sore and wants the knot of muscles at the base of her neck to stop hurting. On the other hand, YAY I'M IN ILLINOIS! <3",openess
likes how the day sounds in this new song.,stability
likes how the day sounds in this new song.,openess
is home. <3,stability
is home. <3,openess
www.thejokerblogs.com,stability
www.thejokerblogs.com,openess
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",stability
"saw a nun zombie, and liked it. Also, *PROPNAME* + Tentacle!Man + Psychic Powers = GREAT Party.",openess
is in Kentucky. 421 miles into her 1100 mile journey home.,stability
is in Kentucky. 421 miles into her 1100 mile journey home.,openess
was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,stability
was about to finish a digital painting before her tablet went haywire. Is now contemplating the many ways she wishes to exact her revenge on faulty technology.,openess
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,stability
is celebrating her new haircut by listening to swinger music and generally looking like a doofus.,openess
has a crush on the Green Lantern.,stability
has a crush on the Green Lantern.,openess
has magic on the brain.,stability
has magic on the brain.,openess
"saw Transformers, Up, and Year One this week. Good movie overload. :D",stability
"saw Transformers, Up, and Year One this week. Good movie overload. :D",openess
Who wants to meet up on schedule pick-up day at Oviedo?,stability
Who wants to meet up on schedule pick-up day at Oviedo?,openess
"desires the thrill of inspiration. Also, money.",stability
"desires the thrill of inspiration. Also, money.",openess
is going to bed at 9:30! Yeah!,stability
is going to bed at 9:30! Yeah!,openess
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",stability
"is reading, admiring her permit, and occasionally glancing at her ner McDonald's uniform.",openess
thinks intangibility should be an option in reality settings.,stability
thinks intangibility should be an option in reality settings.,openess
"is tired. *PROPNAME*, let me go to sleep pl0x.",stability
"is tired. *PROPNAME*, let me go to sleep pl0x.",openess
is discovering the many flavors of insomnia.,stability
is discovering the many flavors of insomnia.,openess
"is watching cousin play computer game on televison box thing. Also, sleepy.",stability
"is watching cousin play computer game on televison box thing. Also, sleepy.",openess
Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,stability
Why is it I'm only getting the urge to draw when I have stuff to do for school? D;,openess
Who'da thought a single text message could be enough to change my mind?,stability
Who'da thought a single text message could be enough to change my mind?,openess
wishes to develop a super power that prevents her from needing to sleep.,stability
wishes to develop a super power that prevents her from needing to sleep.,openess
"TELL ME WHAT TO DRAW, PLOX.",stability
"TELL ME WHAT TO DRAW, PLOX.",openess
"found a bunny, bunny died, buried bunny, now is drawing.",stability
"found a bunny, bunny died, buried bunny, now is drawing.",openess
<3,stability
<3,openess
is just about insane by now.,stability
is just about insane by now.,openess
wants to sleep eight hours tonight. And so she shall.,stability
wants to sleep eight hours tonight. And so she shall.,openess
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",stability
"really hates hormones and emotions right now. Well, has hated them a lot recently. Goodness.",openess
has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,stability
has a watch that matches her glasses. She wishes she hadn't spazzed with glee when she saw it in the store.,openess
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",stability
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",openess
can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,stability
can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,openess
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",stability
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",openess
is watching kid's cartoons and wishing she weren't so old.,stability
is watching kid's cartoons and wishing she weren't so old.,openess
"has work tomorrow, and hopes they teach her how to use the cash register. :D",stability
"has work tomorrow, and hopes they teach her how to use the cash register. :D",openess
